candidate_id,period,previous_period,provider,provider_name,event,adjacent_total,classification,cause,disposition,source_file,official_evidence_url
PE138,2025-11,2025-10,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",disappears,58662,temporary_gap,officially documented non-submission,caveat; preserve official monthly scope,202510-RTT-October2025-incomplete-pathways.csv,https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2026/01/Nov25-RTT-SPN-Publication-PDF-458K-1Xmjkk.pdf
PE139,2025-11,2025-10,S0L9O,ACES BIRMINGHAM,appears,1,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE140,2025-11,2025-10,T1T4S,ACES BRISTOL,appears,12,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE141,2025-11,2025-10,U1P4Z,ACES MILTON KEYNES,appears,18,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE142,2025-11,2025-10,U6A5N,ACES CHISWICK,appears,3,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE143,2025-11,2025-10,V8A3H,SPAMEDICA SHEFFIELD COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,appears,1,reappearance_after_gap,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE144,2025-11,2025-10,W7J4C,ACES MANCHESTER,appears,6,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE145,2025-11,2025-10,X7Y2H,ACES WILMSLOW,appears,1,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE146,2025-11,2025-10,Y7W8F,ACES SOUTHAMPTON - EAST ST,appears,1,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE147,2025-11,2025-10,Z4F8Y,ACES DARTFORD,appears,39,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE148,2025-12,2025-11,F4B0R,SPAMEDICA GUILDFORD,appears,1,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202512-RTT-December2025-incomplete-pathways.csv,
PE149,2025-12,2025-11,K3V9U,SPAMEDICA STEVENAGE COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,appears,3,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202512-RTT-December2025-incomplete-pathways.csv,
PE150,2025-12,2025-11,K7J9E,ANGLIA COMMUNITY EYE SERVICE - NORWICH,appears,1,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202512-RTT-December2025-incomplete-pathways.csv,
PE151,2025-12,2025-11,NT225,"NUFFIELD HEALTH, LEEDS HOSPITAL",disappears,1285,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202511-RTT-November2025-incomplete-pathways.csv,
PE152,2025-12,2025-11,Q4W9A,ACES SOUTHAMPTON,appears,1,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202512-RTT-December2025-incomplete-pathways.csv,
PE153,2025-12,2025-11,R6X7C,SPAMEDICA MACCLESFIELD COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,appears,1,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202512-RTT-December2025-incomplete-pathways.csv,
PE154,2025-12,2025-11,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",appears,68913,reappearance_after_gap,not established from counts,caveat; preserve official monthly scope,202512-RTT-December2025-incomplete-pathways.csv,
PE155,2025-12,2025-11,X7M7U,ACES LAKESIDE,appears,2,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202512-RTT-December2025-incomplete-pathways.csv,
PE156,2026-01,2025-12,D1V5N,ACES BOLTON,appears,1,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202601-RTT-January2026-incomplete-pathways.csv,
PE157,2026-01,2025-12,E6F9I,ACES BRADFORD,appears,1,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202601-RTT-January2026-incomplete-pathways.csv,
PE158,2026-01,2025-12,F2C9F,ACES HARLEY STREET,appears,3,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202601-RTT-January2026-incomplete-pathways.csv,
PE159,2026-01,2025-12,N1L8R,ACES MANCHESTER ST JOHNS STREET,appears,8,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202601-RTT-January2026-incomplete-pathways.csv,
PE160,2026-01,2025-12,N8Z8E,ACES TORQUAY,appears,5,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202601-RTT-January2026-incomplete-pathways.csv,
PE161,2026-01,2025-12,O1B1P,ACES PLYMOUTH,appears,1,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202601-RTT-January2026-incomplete-pathways.csv,
PE162,2026-01,2025-12,P1G3N,ACES LEEDS WHITE ROSE,appears,4,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202601-RTT-January2026-incomplete-pathways.csv,
PE163,2026-01,2025-12,S8O6A,ACES MANCHESTER TRAFFORD,appears,4,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202601-RTT-January2026-incomplete-pathways.csv,
PE164,2026-01,2025-12,T1I9W,ACES LINCOLN,appears,3,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202601-RTT-January2026-incomplete-pathways.csv,
PE165,2026-01,2025-12,X0R3Y,ACES LEEDS KING STREET,appears,22,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202601-RTT-January2026-incomplete-pathways.csv,
PE166,2026-01,2025-12,X1M4L,ACES MAIDSTONE,appears,3,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202601-RTT-January2026-incomplete-pathways.csv,
PE167,2026-02,2026-01,ACG39,NEWMEDICA - SWINDON,disappears,15,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202601-RTT-January2026-incomplete-pathways.csv,
PE168,2026-02,2026-01,V8A3H,SPAMEDICA SHEFFIELD COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,disappears,1,temporary_gap,not established from counts,caveat; preserve official monthly scope,202601-RTT-January2026-incomplete-pathways.csv,
PE169,2026-03,2026-02,A1S9E,OPTEGRA EYE HOSPITAL YORK,appears,472,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE170,2026-03,2026-02,A5E1F,OPTEGRA EYE HOSPITAL PRESTON,appears,233,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE171,2026-03,2026-02,A6U7U,OPTEGRA EYE HOSPITAL NOTTINGHAM,appears,75,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE172,2026-03,2026-02,A8L1O,OPTEGRA EYE HOSPITAL LEICESTER,appears,121,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE173,2026-03,2026-02,B6Z0N,OPTEGRA EYE HOSPITAL UTTOXETER,appears,258,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE174,2026-03,2026-02,D0Y2J,OPTEGRA AT HAVANT HEALTH CENTRE (HAVANT),appears,25,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE175,2026-03,2026-02,D1V5N,ACES BOLTON,disappears,1,temporary_gap,not established from counts,caveat; preserve official monthly scope,202602-RTT-February2026-incomplete-pathways.csv,
PE176,2026-03,2026-02,D9E5L,OPTEGRA EYE HOSPITAL BRIGHTON,appears,758,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE177,2026-03,2026-02,DXN,MODALITY LLP,appears,264,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE178,2026-03,2026-02,E4K5T,OPTEGRA EYE HOSPITAL NEWCASTLE,appears,436,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE179,2026-03,2026-02,G3E7R,OPTEGRA EYE HOSPITAL MAIDSTONE,appears,472,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE180,2026-03,2026-02,I7Q4A,OPTEGRA EYE HOSPITAL WEST LONDON,appears,560,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE181,2026-03,2026-02,M2O7D,OPTEGRA EYE HOSPITAL COLCHESTER,appears,339,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE182,2026-03,2026-02,NID,THE LIVING CARE GROUP,appears,232,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE183,2026-03,2026-02,NNH,OPTEGRA UK,disappears,7868,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202602-RTT-February2026-incomplete-pathways.csv,
PE184,2026-03,2026-02,NNH02,OPTEGRA YORKSHIRE EYE HOSPITAL,appears,634,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE185,2026-03,2026-02,NNH03,OPTEGRA (SURREY EYE HOSPITAL),appears,859,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE186,2026-03,2026-02,NNH04,OPTEGRA (MANCHESTER EYE HOSPITAL),appears,814,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE187,2026-03,2026-02,NNH05,OPTEGRA (BIRMINGHAM EYE HOSPITAL),appears,682,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE188,2026-03,2026-02,NNH06,OPTEGRA (SOLENT EYE HOSPITAL),appears,647,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE189,2026-03,2026-02,NNH07,OPTEGRA LONDON EYE HOSPITAL,appears,874,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE190,2026-03,2026-02,Q6V1S,OPTEGRA EYE HOSPITAL SHEFFIELD,appears,258,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE191,2026-03,2026-02,V8A3H,SPAMEDICA SHEFFIELD COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,appears,11,reappearance_after_gap,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE192,2026-04,2026-03,NDL01,SUFFOLK GP FEDERATION,disappears,66,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE193,2026-04,2026-03,O1B1P,ACES PLYMOUTH,disappears,2,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE194,2026-04,2026-03,R6B6E,ACES DARLINGTON,appears,1,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202604-RTT-April2026-incomplete-pathways.csv,
PE195,2026-04,2026-03,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,disappears,33473,last_observed_exit,officially documented non-reporting; estimates used in separate NHS dashboard,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,https://data.england.nhs.uk/providers/acute-provider-table?info=true
PE196,2026-04,2026-03,RW4,MERSEY CARE NHS FOUNDATION TRUST,disappears,53,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE197,2026-04,2026-03,S5E5Y,HCRG CARE DERMATOLOGY THE IRONSTONE CENTRE,disappears,1209,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202603-RTT-March2026-incomplete-pathways.csv,
PE198,2026-05,2026-04,A9T5Y,RSA (ATHENA SURGICAL CENTRE),appears,5,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202605-RTT-May2026-incomplete-pathways.csv,
PE199,2026-05,2026-04,D1V5N,ACES BOLTON,appears,1,reappearance_after_gap,not established from counts,caveat; preserve official monthly scope,202605-RTT-May2026-incomplete-pathways.csv,
PE200,2026-05,2026-04,F2C9F,ACES HARLEY STREET,disappears,1,last_observed_exit,not established from counts,caveat; preserve official monthly scope,202604-RTT-April2026-incomplete-pathways.csv,
PE201,2026-05,2026-04,NX505,ANGLIA COMMUNITY EYE SERVICE - FAKENHAM MEDICAL PRACTICE,appears,4,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202605-RTT-May2026-incomplete-pathways.csv,
PE202,2026-05,2026-04,P1N3Z,DEEPING SURGICAL,appears,133,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202605-RTT-May2026-incomplete-pathways.csv,
PE203,2026-05,2026-04,S5D8W,ACES MIDDLESBOROUGH,appears,1,first_observed_entry,not established from counts,caveat; preserve official monthly scope,202605-RTT-May2026-incomplete-pathways.csv,
